A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
141	Nd     	60 	81 	0.0000  	3/2+          	-84.193             	3         	2.49 H 3                 	8964                     	          	        	EC      	100.00      
142	Nd     	60 	82 	0.0000  	0+            	-85.9500            	14        	STABLE                   	infinity                 	27.152%   	40      	        	            
143	Nd     	60 	83 	0.0000  	7/2-          	-84.0022            	14        	STABLE                   	infinity                 	12.174%   	26      	        	            
144	Nd     	60 	84 	0.0000  	0+            	-83.7480            	14        	2.29E+15 Y 16            	7.227E22                 	23.798%   	19      	A       	100.00      
145	Nd     	60 	85 	0.0000  	7/2-          	-81.4320            	14        	STABLE                   	infinity                 	8.293%    	12      	        	            
146	Nd     	60 	86 	0.0000  	0+            	-80.9259            	14        	STABLE                   	infinity                 	17.189%   	32      	        	            
147	Nd     	60 	87 	0.0000  	5/2-          	-78.1467            	14        	10.98 D 1                	948672                   	          	        	B-      	100.00      
148	Nd     	60 	88 	0.0000  	0+            	-77.4080            	21        	STABLE                   	infinity                 	5.756%    	21      	        	            
149	Nd     	60 	89 	0.0000  	5/2-          	-74.3755            	21        	1.728 H 1                	6220.8                   	          	        	B-      	100.00      
150	Nd     	60 	90 	0.0000  	0+            	-73.6798            	13        	0.91E19 Y 7              	2.872E26                 	5.638%    	28      	2B-     	?           
151	Nd     	60 	91 	0.0000  	3/2+          	-70.9430            	13        	12.44 M 7                	746.4                    	          	        	B-      	100.00      
152	Nd     	60 	92 	0.0000  	0+            	-70.149             	24        	11.4 M 2                 	684                      	          	        	B-      	100.00      
153	Nd     	60 	93 	0.0000  	(3/2)-        	-67.330             	3         	31.6 S 10                	31.6                     	          	        	B-      	100.00      
154	Nd     	60 	94 	0.0000  	0+            	-65.82              	5         	25.9 S 2                 	25.9                     	          	        	B-      	100.00      
155	Nd     	60 	95 	0.0000  	              	-62.284             	9         	8.9 S 2                  	8.9                      	          	        	B-      	100.00      
156	Nd     	60 	96 	0.0000  	0+            	-60.47              	20        	5.06 S 13                	5.06                     	          	        	B-      	100.00      
157	Nd     	60 	97 	0.0000  	              	-56.462             	25        	100 MS GT                	0.1                      	          	        	B-      	100.00      
158	Nd     	60 	98 	0.0000  	0+            	-54.05              	20        	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
159	Nd     	60 	99 	0.0000  	              	-49.8               	3         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
159	Nd     	60 	99 	0.0000  	              	-49.8               	3         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
160	Nd     	60 	100	0.0000  	0+            	-47.1               	3         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
160	Nd     	60 	100	0.0000  	0+            	-47.1               	3         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
161	Nd     	60 	101	0.0000  	              	-42.6               	4         	160 NS GT                	1.6E-7                   	          	        	B-      	100.00      
161	Nd     	60 	101	0.0000  	              	-42.6               	4         	160 NS GT                	1.6E-7                   	          	        	BN      	?           
128	Pm     	61 	67 	0.0000  	5,6,7         	-47.8               	3         	1.0 S 3                  	1                        	          	        	A       	?           
128	Pm     	61 	67 	0.0000  	5,6,7         	-47.8               	3         	1.0 S 3                  	1                        	          	        	EP      	?           
128	Pm     	61 	67 	0.0000  	5,6,7         	-47.8               	3         	1.0 S 3                  	1                        	          	        	EC      	100.00      
129	Pm     	61 	68 	0.0000  	(5/2-)        	-52.9               	3         	2.4 S 9                  	2.4                      	          	        	P       	?           
129	Pm     	61 	68 	0.0000  	(5/2-)        	-52.9               	3         	2.4 S 9                  	2.4                      	          	        	EC      	~ 100.00    
129	Pm     	61 	68 	0.0000  	(5/2-)        	-52.9               	3         	2.4 S 9                  	2.4                      	          	        	EP      	?           
130	Pm     	61 	69 	0.0000  	(4,5,6)       	-55.40              	20        	2.6 S 2                  	2.6                      	          	        	EC      	100.00      
130	Pm     	61 	69 	0.0000  	(4,5,6)       	-55.40              	20        	2.6 S 2                  	2.6                      	          	        	EP      	            
131	Pm     	61 	70 	0.0000  	(11/2-)       	-59.66              	20        	6.3 S 8                  	6.3                      	          	        	EC      	100.00      
132	Pm     	61 	71 	0.0000  	(3+)          	-61.63              	15        	6.2 S 6                  	6.2                      	          	        	EP      	~ 5.0E-5    
132	Pm     	61 	71 	0.0000  	(3+)          	-61.63              	15        	6.2 S 6                  	6.2                      	          	        	EC      	100.00      
133	Pm     	61 	72 	0.0000  	(3/2+)        	-65.41              	5         	13.5 S 21                	13.5                     	          	        	EC      	100.00      
134	Pm     	61 	73 	0.0000  	(2+)          	-66.74              	6         	5 S AP                   	5                        	          	        	EC      	100.00      
