A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.05                	9         	31.5 MS 13               	0.0315                   	          	        	BN      	2.00        
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.05                	9         	31.5 MS 13               	0.0315                   	          	        	B2N     	?           
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.05                	9         	31.5 MS 13               	0.0315                   	          	        	B-      	100.00      
28 	Ne     	10 	18 	0.0000  	0+            	11.30               	13        	20 MS 1                  	0.02                     	          	        	B-      	100.00      
28 	Ne     	10 	18 	0.0000  	0+            	11.30               	13        	20 MS 1                  	0.02                     	          	        	BN      	12.00       
28 	Ne     	10 	18 	0.0000  	0+            	11.30               	13        	20 MS 1                  	0.02                     	          	        	B2N     	3.70        
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40               	15        	15 MS 3                  	0.015                    	          	        	B-      	100.00      
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40               	15        	15 MS 3                  	0.015                    	          	        	BN      	28.00       
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40               	15        	15 MS 3                  	0.015                    	          	        	B2N     	4.00        
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40               	15        	15 MS 3                  	0.015                    	          	        	B3N     	?           
30 	Ne     	10 	20 	0.0000  	0+            	23.3                	3         	7.39 MS 11               	0.00739                  	          	        	BN      	12.60       
